name,entry_id,band_gap,delta_e,stability
Lu,1216058,0.0,0.0125899016666704,0.0125899016666704
Tm,1216098,0.0,0.00639353000000042,0.00639353000000042
Ne,4698,11.91,0.000137119999999998,0.000137119999999998
La,8130,0.0,0.131232160000001,0.131232160000001
Pr,8132,0.0,0.1260863925,0.1260863925
Kr,8203,7.487,0.002735225,0.002735225
V,7503,0.0,0.25849391,0.25849391
Rb,8533,0.0,0.000720370000000026,0.000720370000000026
Ta,7517,0.0,0.24225738,0.24225738
V,8082,0.0,0.0,0.0
Ne,8086,11.657,0.0,0.0
Al,8100,0.0,0.000788779999999711,0.000788779999999711
Ne,12054,13.5,0.20662014,0.20662014
K,8500,0.0,0.000309365000000117,0.000309365000000117
Rh,7514,0.0,0.0,0.0
Er,9566,0.0,0.141404150000001,0.141404150000001
Zr,9320,0.0,0.0796308700000008,0.07980277500000099
Ho,10106,0.0,0.14287140666667,0.14287140666667
Lu,8586,0.0,0.138943965,0.138943965
Tb,17350,0.0,0.14485669666667,0.14485669666667
Ne,12055,14.115,0.30914442,0.30914442
P,16720,0.0,0.13220847690476,0.13220847690476
Ru,7513,0.0,0.11075173,0.11075173
Ir,7521,0.0,0.0,0.0
Gd,17319,0.0,0.146083992499999,0.146083992499999
Fe,22514,0.0,0.000355089999999336,0.000355089999999336
Ni,22516,0.0,0.0907972999999993,0.09194080999999965
Fe,7505,0.0,0.161451849999999,0.161451849999999
Tc,7512,0.0,0.0685293750000007,0.0685293750000007
Re,7519,0.0,0.062048055,0.062048055
Pt,7522,0.0,0.0,0.0
YbSe,6321,2.083,-2.106159375,0.00016242500000052118
SiP,5810,0.0,0.106576353020031,0.3851241816666664
SmZn,18114,0.0,-0.32744836875,0.0
SiC,22472,0.0,0.53431968375,0.7432248316666671
U,8391,0.0,0.274825495,0.274825495
Zr,7509,0.0,0.0396869400000011,0.039858845000001294
Os,7520,0.0,0.13649345,0.13649345
ZnNi,17859,0.0,-0.26207291,0.0007012000000005125
TiAg,10676,0.0,0.0695339693568684,0.1698064525000004
ZnNi,17860,0.0,-0.249743215000001,0.013030894999999515
YbTe,6320,1.62,-1.67984976666667,1.3494999995256052e-05
TmAg,10678,0.0,-0.35077449375,0.0016281999999999686
UTe,17352,0.0,-0.439347684166665,0.1379879816666661
YAg,10681,0.0,-0.34309354125,0.0015580449999999524
LiBi,10937,0.0,-0.3874247075,0.00017543500000000156
TcB,21452,0.0,0.144658812499999,0.5295237167003392
LiTl,17610,0.0,-0.2332024625,8.75099999999851e-05
YbAg,10683,0.0,-0.42926611875,0.006614506250000041
